recipe_name,ingredients,cooking_time,rating,instructions,difficulty
Classic Scrambled Eggs,"Eggs,Milk,Butter","10","4.5","Whisk eggs and milk together. Melt butter in a pan over medium heat. Pour in egg mixture and gently stir until cooked to desired consistency. Season with salt and pepper.","easy"
Chicken Fried Rice,"Rice,Chicken,Eggs,Soy sauce,Carrots,Onion,Garlic","25","4.7","Cook rice and let it cool. Dice chicken and cook in oil. Add beaten eggs and scramble. Add cooked rice, soy sauce, diced carrots, onions, and garlic. Stir-fry until combined.","medium"
Spaghetti Carbonara,"Pasta,Eggs,Bacon,Parmesan cheese,Garlic","20","4.8","Cook pasta. Fry bacon until crispy. Mix eggs and parmesan. Toss hot pasta with bacon, then remove from heat and quickly mix in egg mixture. Add garlic. Serve immediately.","medium"
Tomato Basil Pasta,"Pasta,Tomatoes,Garlic,Onion,Parmesan cheese","18","4.4","Cook pasta. Sauté garlic and onion. Add diced tomatoes and simmer for 10 minutes. Toss with pasta and top with parmesan cheese.","easy"
Simple Chicken Stir-Fry,"Chicken,Bell peppers,Onion,Soy sauce,Garlic,Rice","30","4.6","Cut chicken into bite-sized pieces. Stir-fry in hot oil. Add sliced peppers, onions, and garlic. Add soy sauce. Serve over cooked rice.","medium"
Beef and Mushroom Pasta,"Pasta,Beef,Mushrooms,Heavy cream,Garlic,Onion","35","4.7","Cook pasta. Brown ground beef. Sauté mushrooms, garlic, and onions. Add heavy cream and simmer. Combine with pasta.","medium"
Creamy Mushroom Chicken,"Chicken,Mushrooms,Heavy cream,Garlic,Onion","40","4.8","Season and cook chicken breasts. Set aside. Sauté mushrooms, garlic, and onion. Add heavy cream and simmer. Pour over chicken.","medium"
Spanish Omelet,"Eggs,Potatoes,Onion,Bell peppers","25","4.3","Slice potatoes and fry until golden. Add onions and peppers. Pour beaten eggs over vegetables and cook until set.","easy"
Garlic Butter Pasta,"Pasta,Garlic,Butter,Parmesan cheese","15","4.5","Cook pasta. Melt butter and sauté minced garlic. Toss pasta with garlic butter. Top with grated parmesan.","easy"
Chicken Parmesan,"Chicken,Eggs,Flour,Tomatoes,Mozzarella cheese,Parmesan cheese","45","4.9","Bread chicken with flour and egg. Fry until golden. Top with tomato sauce and mozzarella. Bake until cheese melts. Sprinkle with parmesan.","hard"
Veggie Fried Rice,"Rice,Eggs,Carrots,Broccoli,Soy sauce,Garlic,Onion","20","4.4","Cook rice. Scramble eggs and set aside. Stir-fry carrots, broccoli, garlic, and onion. Add rice, eggs, and soy sauce. Mix well.","easy"
Beef Stir-Fry with Broccoli,"Beef,Broccoli,Soy sauce,Garlic,Onion,Rice","28","4.6","Slice beef thinly. Stir-fry beef until browned. Add broccoli, garlic, and onion. Add soy sauce and cook until vegetables are tender. Serve over rice.","medium"
Creamy Spinach Pasta,"Pasta,Spinach,Heavy cream,Garlic,Parmesan cheese","22","4.5","Cook pasta. Sauté garlic. Add spinach until wilted. Pour in heavy cream and simmer. Toss with pasta and parmesan.","easy"
Bacon and Egg Breakfast,"Eggs,Bacon,Butter","12","4.6","Fry bacon until crispy. Remove and set aside. Fry eggs in bacon fat or butter. Serve together with toast.","easy"
Lemon Garlic Chicken,"Chicken,Lemon,Garlic,Butter","35","4.7","Season chicken with salt and pepper. Sear in butter. Add minced garlic and lemon juice. Cook until chicken is done.","medium"
Potato and Onion Hash,"Potatoes,Onion,Eggs,Butter","25","4.3","Dice potatoes and onions. Fry in butter until golden and crispy. Make wells and crack eggs into them. Cook until eggs are set.","easy"
Simple Beef Tacos,"Beef,Onion,Garlic,Tomatoes,Bell peppers","30","4.5","Brown ground beef with onion and garlic. Add diced tomatoes and peppers. Season with spices. Serve in taco shells.","easy"
Mushroom Risotto,"Rice,Mushrooms,Onion,Parmesan cheese,Garlic","40","4.8","Sauté onion and garlic. Add rice and toast. Gradually add broth while stirring. Add sautéed mushrooms. Finish with parmesan.","hard"
Chicken and Rice Casserole,"Chicken,Rice,Carrots,Onion,Garlic,Butter","50","4.6","Brown chicken pieces. Layer with uncooked rice, carrots, onions, and garlic in a baking dish. Add broth and butter. Bake covered.","medium"
Broccoli Cheese Pasta,"Pasta,Broccoli,Mozzarella cheese,Heavy cream,Garlic","20","4.5","Cook pasta and broccoli together. Drain. Sauté garlic in butter. Add heavy cream and mozzarella. Toss with pasta and broccoli.","easy"
Apple Pancakes,"Flour,Eggs,Milk,Apples,Butter","20","4.7","Mix flour, eggs, and milk to make batter. Fold in diced apples. Cook pancakes in butter until golden on both sides.","easy"
Banana Smoothie Bowl,"Banana,Milk,Apples","5","4.4","Blend frozen banana with milk until smooth. Pour into bowl. Top with sliced apples and granola.","easy"
Spinach and Feta Omelet,"Eggs,Spinach,Feta cheese,Onion,Butter","15","4.6","Sauté spinach and onion in butter. Beat eggs and pour over vegetables. Add crumbled feta. Fold omelet when set.","easy"
Tomato Chicken Pasta,"Pasta,Chicken,Tomatoes,Garlic,Onion,Parmesan cheese","30","4.7","Cook pasta. Sauté diced chicken. Add garlic, onion, and diced tomatoes. Simmer. Toss with pasta. Top with parmesan.","medium"
Loaded Baked Potatoes,"Potatoes,Bacon,Mozzarella cheese,Heavy cream,Butter","60","4.8","Bake potatoes until tender. Cut open and fluff insides. Top with butter, heavy cream, crumbled bacon, and melted mozzarella.","easy"
